"filename", "language", "TypeScript", "JSON", "JavaScript", "Markdown", "JSON with Comments", "XML", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\1-git\prod\dev-soodam\.eslintrc.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\1-git\prod\dev-soodam\.prettierrc.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"d:\1-git\prod\dev-soodam\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\1-git\prod\dev-soodam\next.config.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 1, 1, 29
"d:\1-git\prod\dev-soodam\package-lock.json", "JSON", 0, 12844, 0, 0, 0, 0, 0, 0, 0, 1, 12845
"d:\1-git\prod\dev-soodam\package.json", "JSON", 0, 59, 0, 0, 0, 0, 0, 0, 0, 1, 60
"d:\1-git\prod\dev-soodam\postcss.config.mjs", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 1, 10
"d:\1-git\prod\dev-soodam\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\1-git\prod\dev-soodam\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\1-git\prod\dev-soodam\public\mockServiceWorker.js", "JavaScript", 0, 0, 208, 0, 0, 0, 0, 0, 43, 53, 304
"d:\1-git\prod\dev-soodam\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\1-git\prod\dev-soodam\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\1-git\prod\dev-soodam\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\1-git\prod\dev-soodam\src\components\emptyList\EmptyCustomList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\components\emptyList\EmptySearchList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 3, 17
"d:\1-git\prod\dev-soodam\src\components\emptyList\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\1-git\prod\dev-soodam\src\components\forms\housing\AdvertisementRegistrationForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1176, 21, 69, 1266
"d:\1-git\prod\dev-soodam\src\components\forms\housing\RequestRegistrationForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1036, 20, 52, 1108
"d:\1-git\prod\dev-soodam\src\components\forms\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\components\forms\login\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 3, 7, 64
"d:\1-git\prod\dev-soodam\src\components\forms\login\MarketerUserLoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 592, 6, 36, 634
"d:\1-git\prod\dev-soodam\src\components\forms\login\VerificationCode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 149, 2, 19, 170
"d:\1-git\prod\dev-soodam\src\components\housing\HousingCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 118, 14, 11, 143
"d:\1-git\prod\dev-soodam\src\components\housing\HousingFilterControls.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 111, 10, 24, 145
"d:\1-git\prod\dev-soodam\src\components\housing\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\1-git\prod\dev-soodam\src\components\layouts\ClientLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 75, 2, 10, 87
"d:\1-git\prod\dev-soodam\src\components\layouts\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\1-git\prod\dev-soodam\src\components\map\LocationMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 4, 36
"d:\1-git\prod\dev-soodam\src\components\map\Map.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1084, 108, 111, 1303
"d:\1-git\prod\dev-soodam\src\components\map\MapLocationPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 539, 14, 70, 623
"d:\1-git\prod\dev-soodam\src\components\modals\FirstLoginModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 91, 0, 6, 97
